nosym
-28	28	29
-6	6	7
-150	100	126
-0.00353801	-0.0544817	0.00759568	
-0.00339242	-0.0491587	0.0072373	
-0.00326271	-0.0444704	0.00689923	
-0.00311826	-0.0402486	0.00657093	
-0.00300902	-0.0365428	0.00634328	
-0.00289381	-0.0331627	0.00610137	
-0.00276204	-0.0301806	0.00588256	
-0.00263515	-0.0275043	0.00563804	
-0.00253235	-0.0251072	0.00544731	
-0.00242667	-0.0229584	0.00525058	
-0.0023155	-0.0209921	0.00508658	
-0.00222911	-0.0192391	0.0049105	
-0.00212121	-0.0176359	0.00473281	
-0.00202283	-0.0162104	0.00456216	
-0.0019305	-0.0149239	0.00441404	
-0.00184488	-0.0137342	0.0042474	
-0.00178395	-0.0126488	0.00411761	
-0.00168219	-0.0117046	0.00395092	
-0.00160835	-0.0108235	0.00382384	
-0.00152222	-0.00997488	0.00365978	
-0.000487067	-0.00189442	-0.00152604	
-0.000516077	-0.00201824	-0.00162126	
-0.000547188	-0.00214168	-0.00167216	
-0.000570322	-0.00227873	-0.00173072	
-0.00060006	-0.00242561	-0.00181061	
-0.000628338	-0.00256838	-0.0018952	
-0.000665992	-0.00272843	-0.00195858	
-0.000703054	-0.00289933	-0.0020094	
-0.000689531	-0.0031202	-0.00208009	
-0.000719013	-0.00331893	-0.00221142	
-0.000769311	-0.00350944	-0.00234337	
-0.000820146	-0.00373912	-0.00241393	
-0.000868786	-0.00397108	-0.00247867	
-0.000912019	-0.00424863	-0.00257969	
-0.000964017	-0.00452388	-0.00272663	
-0.00100972	-0.0048242	-0.00287933	
-0.00107046	-0.00519203	-0.00297789	
-0.00114241	-0.00555485	-0.00307494	
-0.00116238	-0.0059659	-0.00323296	
-0.00122857	-0.006373	-0.00335723	
-0.00129622	-0.00686481	-0.00351567	
-0.0013658	-0.00736811	-0.00365886	
-0.00143192	-0.00792602	-0.00383788	
-0.00151311	-0.00853058	-0.00403289	
-0.00157641	-0.00919883	-0.00418351	
-0.0016758	-0.00991592	-0.00444968	
-0.00176196	-0.0107143	-0.00459736	
